ID;X;Y;CATEGORY;NAME;WWW
1;1548284;6606407;DIY;OBI Markt Pirna;
3;1581044;6619031;DIY;Häntzschel GmbH;www.baumarktneustadt.de
4;1581044;6619031;DIY;Häntzschel GmbH;
6;1549925;6768325;DIY;Lübbenau;
7;1363851;6621845;DIY;Meuselwitz;
8;1351880;6709585;DIY;Melle Dachbaustoffe GmbH Niederlassung Landsberg;www.melle.de
9;1268103;6661503;DIY;Raiffeisen Warengenossenschaft Heldrungen eG;
11;1314397;6640637;DIY;Das Futterhaus;
12;1352422;6620451;DIY;Zeitz;
13;1440439;6756412;DIY;Wittig GmbH;www.wittig-jessen.de
14;1236571;6554820;DIY;Bauzentren Mobau Bauer;
15;1347922;6592343;DIY;Raiffeisen-Warenzentrale Kurhessen-Thüringen GmbH Ndl. Gera;www.raiffeisen-kassel.de
16;1289643;6603219;DIY;OBI Markt Jena-Löbstedt;
17;1379671;6531693;DIY;BSZ Rodewisch;
18;1384609;6500805;DIY;Raiffeisen Klingenthal;
19;1420412;6534705;DIY;OBI Markt Schwarzenberg;
20;1429786;6584244;DIY;Raab Karcher Chemnitz;
21;1429114;6590131;DIY;ProBau Chemnitz GmbH Baustoff-Fachhandel;www.probau.de
22;1413884;6599719;DIY;RHG Bau- u. Garten Penig;
23;1441232;6549741;DIY;Ehrenfriedersdorf;
25;1488698;6871857;DIY;Neubauer Holzfachmarkt GmbH;www.holz-neubauer.de
26;1487041;6866719;DIY;BAUHAUS Berlin-Marienfelde;
27;1507377;6865713;DIY;Münzinger + Frieser Holding GmbH;
28;1510184;6884228;DIY;Fressnapf Berlin Kaulsdorf;
29;1468809;6888706;DIY;BAUHAUS Berlin-Spandau;
30;1448948;6863291;DIY;Fressnapf Potsdam;
31;1459468;6861881;DIY;Fressnapf Potsdam;
32;1449082;6849825;DIY;Beez + Jeske GmbH Ndl. Neuseddin;www.Beez-Jeske.de
33;1371793;6902130;DIY;Gebr. Fürstenberg GmbH Fliesenstudio;www.fuerstenberg-baustoffe.com
34;1602246;6836363;DIY;Raiffeisen Handels- und Dienstleistungs-;
35;1516521;6885770;DIY;Beez + Jeske GmbH Dach- u. Fassadenbaustoffe;www.Beez-Jeske.de
36;1583593;6824943;DIY;RHD Oder-Spree;
37;1548369;6782026;DIY;BHG Handelszentren GmbH Ndl. Lübben;www.bhg-hz.de
38;1493906;6768619;DIY;BHG Handelszentren GmbH;
39;1509652;6912789;DIY;Holz-Zentrum Theile GmbH, Filiale Bernau;www.holz-zentrum-theile.de
40;1475980;7084294;DIY;OBI Markt Neubrandenburg;
41;1429957;7142925;DIY;Sonderpreis Baumarkt;
42;1380932;7065259;DIY;GeDa Baumarkt & Baustoffhandel;
43;1543175;7031850;DIY;Prenzlau;
44;1563746;7100307;DIY;team baucenter GmbH & Co. KG;
45;1343106;7185087;DIY;Raab Karcher Rostock;
46;1341031;7187700;DIY;Rostock;
47;1359388;7124106;DIY;WeGo Systembaustoffe GmbH Niederlassung Güstrow;www.wego-systembaustoffe.de
48;1135178;7064923;DIY;BAUHAUS Hamburg-Bergedorf;
49;1135037;7064427;DIY;Das Futterhaus;
50;1094115;7062908;DIY;Fressnapf Hamburg-Fischbek;
51;1153116;7014834;DIY;Kiebitzmarkt Lüneburg-Rettmer;http://www.kiebitzmarkt-rudolfpeters.de
52;1163228;7019317;DIY;BAUHAUS Lüneburg;
53;1135767;7040628;DIY;Kiebitzmarkt Winsen;http://www.kiebitzmarkt-rudolfpeters.de
54;1168152;7069538;DIY;BAUKING Schwarzenbek;www.bauking.de
55;1150198;7055867;DIY;Das Futterhaus;
56;1115516;7102258;DIY;Das Futterhaus;
57;1131960;7080174;DIY;BEDO Innenausbausysteme und Baustoffe GmbH & Co.KG;
58;1116798;7195092;DIY;PROFI Fachmarkt;
59;1117208;7196183;DIY;C. J. Wigger KG hagebaumarkt;
60;1095955;7092891;DIY;Lüchau Bauzentrum;
61;1001617;7154160;DIY;Thomassek Baustoffhandel GmbH & Co. KG;www.kohlsaat-baustoffe.de
62;1010999;7250996;DIY;C.G. Christiansen GmbH + Co. Holz- und Baustoffzentrum;www.CGChristiansen.de
64;891952;7047575;DIY;BZN LOGEMANN BOCKHORN GmbH & Co. KG Baustoffhandel;www.logemann-bockhorn.de
65;860316;7053191;DIY;BAUDi GmbH;
66;860179;7051868;DIY;Fressnapf Wiesmoor;
67;941799;7037579;DIY;hagebaumarkt Brake GmbH & Co. KG;
68;940442;7065635;DIY;Karl Lonecke;
69;1002950;6968017;DIY;Farbenhaus Gebr. Eggers GmbH;www.maler-eggers.de
70;1043855;6996638;DIY;Behrens Holz und Bauelemente GmbH;www.holz-behrens.de
71;1029072;6994175;DIY;Otto Röhrs GmbH, NL Hassendorf;
72;1031097;7032039;DIY;bauXpert Gebhard GmbH & Co. KG;
73;969052;7134281;DIY;Cuxhaven;
74;962729;7041916;DIY;bauXpert Gebhard GmbH & Co. KG;
75;984036;6984448;DIY;Fressnapf Bremen-Habenhausen;
76;991233;7004069;DIY;H.H. Rohdenburg GmbH;www.rohdenburg.de
77;1122594;6904353;DIY;BAUKING Celle;www.bauking.de
78;1175395;6988454;DIY;hagebaumarkt Mölders GmbH;
79;1085880;6854766;DIY;Fressnapf Hannover;
80;1089284;6850620;DIY;Das Futterhaus;
81;1104187;6824490;DIY;Bürger GmbH;www.bbh-gruppe.de
82;956281;6847562;DIY;Sonderpreis Baumarkt;
